RowID,Need,Hidden sort,Category,Type,Item,Link,NewLink,UniqueID,LinkMessage
66,I need something New,9,Conference Rooms,zGeneric Request,Generic Request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI059,
67,I need something New,10,People,Benefits,General question about coverage,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI067,
68,I need something New,10,People,Benefits,Intra-year chane to selection,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI066,
69,I need something New,10,People,Employee on-boarding,User needs access to something,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI060,
70,I need something New,10,People,Manager Changes,Change of title,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI061,
71,I need something New,10,People,Manager Changes,Employee  travel request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI064,
72,I need something New,10,People,Manager Changes,Employee Exit process,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI063,
73,I need something New,10,People,Manager Changes,Employee relocation question,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI065,
74,I need something New,10,People,Manager Changes,Salary Adjustment,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI062,
75,I need something New,10,People,New postion,Opening a new contrator role,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI069,
76,I need something New,10,People,New postion,Opening a new FTE,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI068,
77,I need something New,10,People,zGeneric Request,Generic Request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI070,
78,I need something New,11,Facilities,Furniture,New,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI071,
79,I need something New,11,Facilities,Furniture,Relocate,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI072,
80,I need something New,11,Facilities,zGeneric Request,Generic Request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI073,
81,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Alert Media,Send Alert,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI078,
82,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Change Management,Emergency Change,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI078,
83,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Change Management,Normal Change,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
84,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,DataDog,Monitor new thing,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
85,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Emergency,Alert Media message,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
86,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Emergency,Emergency Change,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
87,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Emergency,InfoSec,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
88,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Emergency,OTHER EMERGENCY,Form should say CALL HELPDESK AT 1-888-XXX-XXXX,,CTI079,
89,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,JSM Service,JSM Feature request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI080,
90,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Opsgenie,Opsgenie feature request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI080,
91,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Service Catalog,New On-call queue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI076,
92,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Service Catalog,New Queue ,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI075,
93,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Service Catalog,New Service Catalog Entry,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI080,
94,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,Service Catalog,New Service Needed,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI074,
95,I need something New,12,Service Delivery | Monitoring | Alerting | OpsGenie,zGeneric Request,Generic Request,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI080,
96,Something is Broken,13,EMERGENCY,Emergency,Alert Media message,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
97,Something is Broken,13,EMERGENCY,Emergency,Emergency Change,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
98,Something is Broken,13,EMERGENCY,Emergency,InfoSec,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI079,
99,Something is Broken,13,EMERGENCY,Emergency,OTHER EMERGENCY,Form should say CALL HELPDESK AT 1-888-XXX-XXXX,,CTI079,
100,Something is Broken,14,Laptops | Desktops | Devices,BYOD,Misc Question,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI087,
101,Something is Broken,14,Laptops | Desktops | Devices,Corporate Phone,Lost,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI092,
102,Something is Broken,14,Laptops | Desktops | Devices,Fonts,Allspring Missing,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI088,
103,Something is Broken,14,Laptops | Desktops | Devices,Laptop Issue,"Slow, degraded",https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI082,
104,Something is Broken,14,Laptops | Desktops | Devices,Laptop Issue,Unusable,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI081,
105,Something is Broken,14,Laptops | Desktops | Devices,Laptop Lost,Lost,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI083,
106,Something is Broken,14,Laptops | Desktops | Devices,Passwords,Locked,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI086,
107,Something is Broken,14,Laptops | Desktops | Devices,Passwords,Reset,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI085,
108,Something is Broken,14,Laptops | Desktops | Devices,Peripheral issue,<lookup peripheral list>,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI084,
109,Something is Broken,14,Laptops | Desktops | Devices,Travel,Can't Access Services while traveling,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI091,
110,Something is Broken,14,Laptops | Desktops | Devices,Virtual Desktops (AVD),"Slow, unresponsive",https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI089,
111,Something is Broken,14,Laptops | Desktops | Devices,Virtual Desktops (Workspaces),"Slow, unresponsive",https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI090,
112,Something is Broken,14,Laptops | Desktops | Devices,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI093,
113,Something is Broken,15,Software |Software Services | Third Party SaaS,3rd Party,Application non- reponsive,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI099,
114,Something is Broken,15,Software |Software Services | Third Party SaaS,3rd Party,Can't login,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI097,
115,Something is Broken,15,Software |Software Services | Third Party SaaS,3rd Party,Can't reach,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI098,
116,Something is Broken,15,Software |Software Services | Third Party SaaS,Appspring app,Application non- reponsive,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI096,
117,Something is Broken,15,Software |Software Services | Third Party SaaS,Appspring app,Can't login,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI094,
118,Something is Broken,15,Software |Software Services | Third Party SaaS,Appspring app,Can't reach,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI095,
119,Something is Broken,15,Software |Software Services | Third Party SaaS,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI100,
120,Something is Broken,16,Developers,AWS Account,Access,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI108,
121,Something is Broken,16,Developers,AWS Account,Create new environment,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI109,
122,Something is Broken,16,Developers,Cloud Server (EC2),Can't access,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI105,
123,Something is Broken,16,Developers,GitHub,Can't retrieve,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI104,
124,Something is Broken,16,Developers,GitHub,Code push failing,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI103,
125,Something is Broken,16,Developers,RDS,Can't access,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI106,
126,Something is Broken,16,Developers,RDS,Reporting errors,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI107,
127,Something is Broken,16,Developers,Service Accounts,Locked,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI102,
128,Something is Broken,16,Developers,SSO,Not working,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI101,
129,Something is Broken,16,Developers,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI130,
130,Something is Broken,17,Information Security,AI,Report new AI feature,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI120,
131,Something is Broken,17,Information Security,Authenticator,Not working,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI117,
132,Something is Broken,17,Information Security,Passwords,Locked,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI116,
133,Something is Broken,17,Information Security,Passwords,Reset,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI115,
134,Something is Broken,17,Information Security,Phishing attack,Email,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI114,
135,Something is Broken,17,Information Security,Phishing attack,SMS,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI113,
136,Something is Broken,17,Information Security,Policy Violation,Employee Handbook,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI119,
137,Something is Broken,17,Information Security,Policy Violation,Technology Use Policy,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI118,
138,Something is Broken,17,Information Security,Vulnerability,Report new AI concern,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI112,
139,Something is Broken,17,Information Security,Vulnerability,Report new Mobile Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI111,
140,Something is Broken,17,Information Security,Vulnerability,Report new Windows Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI110,
141,Something is Broken,17,Information Security,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI121,
142,Something is Broken,18,Compliance,Policy Violation,Technology Use Policy,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI122,
143,Something is Broken,18,Compliance,zGeneric Issue,Generic Issue,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI124,
144,Something is Broken,19,Storage | Collaboration | Communication,Distribuition List,Not working,https://allspring.atlassian.net/servicedesk/customer/portal/10,,CTI126,
